FE00,FE20,FE30,TOTAL_TH
339537844.0,379038052.0,203893540.0,922469436.0
0.0,280.0,0.0,280.0
360.0,1120.0,600.0,2080.0
240.0,280.0,0.0,520.0
12000.0,22800.0,28320.0,63120.0
85080.0,42240.0,37080.0,164400.0
112040.0,51712.0,51672.0,215424.0
91560.0,153640.0,52272.0,297472.0
153792.0,118976.0,45432.0,318200.0
82432.0,119304.0,125220.0,326956.0
113468.0,226260.0,69072.0,408800.0
125312.0,127616.0,93344.0,346272.0
129944.0,101216.0,120408.0,351568.0
114904.0,106136.0,113432.0,334472.0
93160.0,101040.0,173232.0,367432.0
172552.0,142144.0,254608.0,569304.0
221648.0,212432.0,332224.0,766304.0
143208.0,129888.0,110944.0,384040.0
4152.0,1784.0,49440.0,55376.0
0.0,0.0,0.0,0.0
