FE00,FE20,FE30,TOTAL_TH
317796884.0,357223332.0,182265756.0,857285972.0
0.0,0.0,0.0,0.0
0.0,0.0,360.0,360.0
600.0,600.0,240.0,1440.0
40808.0,33044.0,80900.0,154752.0
100292.0,130224.0,99328.0,329844.0
73976.0,42728.0,97488.0,214192.0
138192.0,51840.0,96168.0,286200.0
129880.0,60224.0,171432.0,361536.0
109880.0,154152.0,150040.0,414072.0
102376.0,107208.0,118520.0,328104.0
154504.0,171728.0,97632.0,423864.0
126624.0,123648.0,127000.0,377272.0
180744.0,152272.0,167080.0,500096.0
143676.0,134012.0,206820.0,484508.0
193472.0,155704.0,155648.0,504824.0
186064.0,255176.0,91760.0,533000.0
0.0,92912.0,0.0,92912.0
600.0,880.0,600.0,2080.0
0.0,280.0,0.0,280.0
