FE00,FE20,FE30,TOTAL_TH
327867416.0,367193040.0,192262584.0,887323040.0
0.0,0.0,0.0,0.0
0.0,280.0,0.0,280.0
0.0,560.0,0.0,560.0
16824.0,24976.0,31992.0,73792.0
44064.0,72432.0,41088.0,157584.0
43680.0,99056.0,45096.0,187832.0
32568.0,252472.0,105448.0,390488.0
51312.0,138704.0,69848.0,259864.0
95808.0,101304.0,136016.0,333128.0
91272.0,168968.0,94920.0,355160.0
117504.0,113360.0,81504.0,312368.0
107328.0,102320.0,107720.0,317368.0
94616.0,102940.0,180404.0,377960.0
116580.0,132160.0,170256.0,418996.0
210872.0,233952.0,217072.0,661896.0
263016.0,159072.0,236504.0,658592.0
246808.0,62632.0,139000.0,448440.0
99992.0,0.0,0.0,99992.0
240.0,0.0,240.0,480.0
