FE00,FE20,FE30,TOTAL_TH
341194296.0,380697800.0,205551440.0,927443536.0
600.0,1160.0,600.0,2360.0
0.0,520.0,0.0,520.0
1356.0,1636.0,1356.0,4348.0
31032.0,34944.0,44904.0,110880.0
97360.0,45000.0,46824.0,189184.0
79728.0,55472.0,45864.0,181064.0
183024.0,86080.0,117528.0,386632.0
165928.0,134472.0,82280.0,382680.0
165392.0,62024.0,93136.0,320552.0
144024.0,161752.0,206336.0,512112.0
257240.0,187872.0,165928.0,611040.0
171952.0,142760.0,171136.0,485848.0
161584.0,232120.0,245536.0,639240.0
207072.0,276256.0,270880.0,754208.0
240.0,178816.0,190136.0,369192.0
600.0,600.0,840.0,2040.0
0.0,0.0,0.0,0.0
1356.0,1356.0,1356.0,4068.0
