FE00,FE20,FE30,TOTAL_TH
87527732.0,251903004.0,82138212.0,421568948.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,800.0,240.0,1040.0
29400.0,42792.0,41968.0,114160.0
37000.0,38368.0,41264.0,116632.0
48576.0,54000.0,50496.0,153072.0
38512.0,26104.0,34184.0,98800.0
50008.0,47712.0,41504.0,139224.0
40160.0,35280.0,36224.0,111664.0
51992.0,49096.0,46080.0,147168.0
31568.0,34904.0,37056.0,103528.0
46656.0,47504.0,49400.0,143560.0
34968.0,34408.0,36592.0,105968.0
33088.0,39536.0,31408.0,104032.0
163448.0,173896.0,161824.0,499168.0
195644.0,203276.0,216780.0,615700.0
233888.0,217560.0,230096.0,681544.0
208784.0,221856.0,225656.0,656296.0
218192.0,238120.0,215704.0,672016.0
211920.0,198064.0,213160.0,623144.0
227016.0,232768.0,214768.0,674552.0
47296.0,22080.0,27112.0,96488.0
600.0,600.0,360.0,1560.0
0.0,280.0,0.0,280.0
0.0,560.0,0.0,560.0
0.0,520.0,240.0,760.0
600.0,640.0,360.0,1600.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
0.0,0.0,308.0,308.0
908.0,668.0,360.0,1936.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
0.0,0.0,0.0,0.0
