FE00,FE20,FE30,TOTAL_TH
91449300.0,255852164.0,86069628.0,433371092.0
0.0,2156.0,1596.0,3752.0
1356.0,280.0,0.0,1636.0
600.0,880.0,360.0,1840.0
40784.0,41984.0,42440.0,125208.0
32144.0,33712.0,35504.0,101360.0
42656.0,49176.0,43080.0,134912.0
31128.0,29744.0,32272.0,93144.0
43000.0,47136.0,47744.0,137880.0
34112.0,37672.0,33224.0,105008.0
44920.0,42000.0,36352.0,123272.0
34488.0,37664.0,42816.0,114968.0
41744.0,41160.0,39688.0,122592.0
38616.0,37656.0,43624.0,119896.0
40856.0,35848.0,38640.0,115344.0
39152.0,44360.0,39816.0,123328.0
41488.0,47592.0,46888.0,135968.0
45432.0,38992.0,31440.0,115864.0
63352.0,97600.0,98952.0,259904.0
235728.0,247800.0,261416.0,744944.0
297216.0,279684.0,288332.0,865232.0
265196.0,250528.0,246088.0,761812.0
216784.0,228976.0,205296.0,651056.0
187176.0,193568.0,195936.0,576680.0
250160.0,215656.0,215360.0,681176.0
600.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,560.0,0.0,560.0
0.0,520.0,240.0,760.0
600.0,1200.0,360.0,2160.0
0.0,840.0,0.0,840.0
