FE00,FE20,FE30,TOTAL_TH
307011384.0,346565152.0,171541272.0,825117808.0
600.0,880.0,600.0,2080.0
0.0,560.0,0.0,560.0
0.0,280.0,1356.0,1636.0
11012.0,16276.0,19048.0,46336.0
38208.0,37488.0,38872.0,114568.0
40488.0,45936.0,49552.0,135976.0
48136.0,41104.0,37296.0,126536.0
38024.0,48536.0,50984.0,137544.0
49312.0,38072.0,34544.0,121928.0
42648.0,50512.0,41744.0,134904.0
43840.0,35752.0,37192.0,116784.0
43168.0,50144.0,47248.0,140560.0
40192.0,37152.0,37664.0,115008.0
41376.0,46488.0,44232.0,132096.0
37352.0,32424.0,32624.0,102400.0
28432.0,23280.0,71512.0,123224.0
154632.0,155688.0,106176.0,416496.0
840.0,840.0,840.0,2520.0
0.0,0.0,0.0,0.0
0.0,280.0,0.0,280.0
0.0,560.0,0.0,560.0
600.0,1440.0,600.0,2640.0
0.0,840.0,0.0,840.0
1356.0,1356.0,1356.0,4068.0
