FE00,FE20,FE30,TOTAL_TH
300316428.0,339802148.0,164862276.0,804980852.0
600.0,880.0,600.0,2080.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
13256.0,22136.0,26728.0,62120.0
44800.0,49600.0,51592.0,145992.0
69496.0,56792.0,52176.0,178464.0
48040.0,48216.0,51336.0,147592.0
51408.0,49944.0,43904.0,145256.0
42168.0,47648.0,37536.0,127352.0
44976.0,42208.0,40536.0,127720.0
43292.0,52932.0,52132.0,148356.0
48272.0,37888.0,41320.0,127480.0
43776.0,46232.0,38784.0,128792.0
120336.0,104608.0,95328.0,320272.0
44864.0,56112.0,63808.0,164784.0
0.0,520.0,0.0,520.0
0.0,0.0,240.0,240.0
600.0,600.0,360.0,1560.0
0.0,0.0,0.0,0.0
1356.0,1356.0,1356.0,4068.0
240.0,600.0,600.0,1440.0
360.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
