FE00,FE20,FE30,TOTAL_TH
303524808.0,343025832.0,168044712.0,814595352.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
1356.0,1356.0,1356.0,4068.0
13256.0,17400.0,22528.0,53184.0
45040.0,42648.0,44512.0,132200.0
38256.0,41856.0,46432.0,126544.0
47192.0,37200.0,30952.0,115344.0
42712.0,44984.0,50640.0,138336.0
41672.0,33712.0,31536.0,106920.0
41744.0,50032.0,45952.0,137728.0
39320.0,39784.0,30600.0,109704.0
39160.0,45984.0,44144.0,129288.0
38728.0,37720.0,35152.0,111600.0
42472.0,50928.0,47360.0,140760.0
35040.0,35000.0,37528.0,107568.0
36240.0,37784.0,35616.0,109640.0
63104.0,107768.0,83504.0,254376.0
106872.0,58944.0,83912.0,249728.0
240.0,240.0,480.0,960.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
1356.0,1356.0,1356.0,4068.0
0.0,0.0,0.0,0.0
