FE00,FE20,FE30,TOTAL_TH
297813408.0,337284016.0,162376616.0,797474040.0
0.0,0.0,0.0,0.0
0.0,280.0,0.0,280.0
600.0,600.0,600.0,1800.0
14456.0,17520.0,22944.0,54920.0
41576.0,40952.0,43664.0,126192.0
46000.0,47440.0,43304.0,136744.0
39584.0,42888.0,44032.0,126504.0
54112.0,51360.0,60096.0,165568.0
51264.0,53512.0,41992.0,146768.0
57300.0,59780.0,54012.0,171092.0
47392.0,49112.0,54800.0,151304.0
47496.0,42840.0,34424.0,124760.0
42704.0,45416.0,44120.0,132240.0
35864.0,32832.0,34768.0,103464.0
31240.0,27552.0,18360.0,77152.0
160584.0,206320.0,229784.0,596688.0
272544.0,288880.0,308072.0,869496.0
256688.0,192280.0,182144.0,631112.0
133072.0,147512.0,137808.0,418392.0
56936.0,48712.0,74112.0,179760.0
156336.0,174984.0,181256.0,512576.0
