FE00,FE20,FE30,TOTAL_TH
302229680.0,341711816.0,166751080.0,810692576.0
0.0,280.0,0.0,280.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
12296.0,16840.0,24328.0,53464.0
46960.0,51952.0,46608.0,145520.0
57752.0,50904.0,51288.0,159944.0
41136.0,38648.0,38608.0,118392.0
51096.0,55416.0,52184.0,158696.0
46304.0,43832.0,43776.0,133912.0
60120.0,53048.0,54416.0,167584.0
50424.0,57024.0,49544.0,156992.0
37440.0,50104.0,52904.0,140448.0
65728.0,83568.0,95544.0,244840.0
110944.0,89968.0,74088.0,275000.0
9704.0,1128.0,240.0,11072.0
1356.0,1636.0,1356.0,4348.0
0.0,560.0,0.0,560.0
600.0,1160.0,600.0,2360.0
0.0,840.0,0.0,840.0
0.0,280.0,0.0,280.0
0.0,280.0,0.0,280.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
