FE00,FE20,FE30,TOTAL_TH
309718952.0,349311200.0,174243376.0,833273528.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
32992.0,35632.0,38384.0,107008.0
46968.0,39512.0,42080.0,128560.0
51336.0,47256.0,50320.0,148912.0
40544.0,44624.0,42592.0,127760.0
42832.0,40544.0,42504.0,125880.0
42352.0,46064.0,51576.0,139992.0
43488.0,44600.0,41744.0,129832.0
42888.0,53192.0,41856.0,137936.0
42144.0,44136.0,52328.0,138608.0
46808.0,44456.0,39224.0,130488.0
40160.0,38720.0,35984.0,114864.0
63020.0,92484.0,84828.0,240332.0
112208.0,81384.0,82088.0,275680.0
2256.0,480.0,0.0,2736.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
