FE00,FE20,FE30,TOTAL_TH
302823340.0,342311084.0,167338364.0,812472788.0
0.0,0.0,240.0,240.0
600.0,600.0,360.0,1560.0
0.0,0.0,0.0,0.0
9656.0,13440.0,19744.0,42840.0
37600.0,46448.0,43912.0,127960.0
31960.0,36912.0,43056.0,111928.0
48592.0,40800.0,41024.0,130416.0
30816.0,39632.0,42952.0,113400.0
53624.0,41936.0,39176.0,134736.0
40220.0,40332.0,46644.0,127196.0
35632.0,33552.0,32752.0,101936.0
29512.0,35144.0,35880.0,100536.0
49304.0,41024.0,38144.0,128472.0
34648.0,38512.0,49200.0,122360.0
52296.0,49360.0,35984.0,137640.0
36696.0,49040.0,41144.0,126880.0
38848.0,32864.0,28176.0,99888.0
71776.0,99048.0,137872.0,308696.0
98248.0,71864.0,28648.0,198760.0
240.0,240.0,240.0,720.0
0.0,280.0,0.0,280.0
600.0,1160.0,600.0,2360.0
0.0,280.0,0.0,280.0
0.0,280.0,0.0,280.0
