FE00,FE20,FE30,TOTAL_TH
295793452.0,335265772.0,160358764.0,791417988.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
12416.0,16440.0,23304.0,52160.0
38144.0,42832.0,44992.0,125968.0
56384.0,53336.0,55904.0,165624.0
48344.0,36112.0,31320.0,115776.0
37368.0,41512.0,54928.0,133808.0
52008.0,46168.0,43552.0,141728.0
52168.0,51264.0,47736.0,151168.0
35264.0,45952.0,51552.0,132768.0
50920.0,41504.0,37312.0,129736.0
43416.0,46904.0,46776.0,137096.0
40192.0,50128.0,49416.0,139736.0
45016.0,37384.0,23864.0,106264.0
159584.0,185688.0,173016.0,518288.0
241936.0,244424.0,266028.0,752388.0
207180.0,210140.0,188128.0,605448.0
133312.0,132488.0,159832.0,425632.0
235832.0,221680.0,257568.0,715080.0
196712.0,194592.0,185040.0,576344.0
240704.0,236176.0,249048.0,725928.0
