FE00,FE20,FE30,TOTAL_TH
109869504.0,275090392.0,104503728.0,489463624.0
600.0,360.0,0.0,960.0
0.0,0.0,0.0,0.0
62928.0,106352.0,124512.0,293792.0
102072.0,69272.0,83256.0,254600.0
96000.0,170088.0,245568.0,511656.0
262320.0,188520.0,123216.0,574056.0
165768.0,212208.0,183168.0,561144.0
79044.0,38148.0,30012.0,147204.0
792.0,880.0,792.0,2464.0
240.0,280.0,0.0,520.0
216.0,240.0,240.0,696.0
360.0,640.0,360.0,1360.0
240.0,560.0,0.0,800.0
0.0,520.0,240.0,760.0
360.0,640.0,360.0,1360.0
240.0,0.0,0.0,240.0
0.0,240.0,240.0,480.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
