192.168.7.121,49156 3.82s
192.168.5.2,21 11.17s
192.168.7.121,49152 12.67s
192.168.7.121,139 12.90s
192.168.3.213,49156 13.52s
192.168.3.213,445 14.32s
192.168.3.213,139 16.84s
192.168.5.5,135 19.36s
192.168.5.5,445 19.36s
192.168.3.213,49153 20.78s
192.168.7.249,80 21.63s
192.168.7.121,445 22.60s
192.168.3.200,23 25.32s
192.168.7.121,49153 26.39s
192.168.5.5,49157 28.17s
192.168.3.36,445 28.76s
192.168.5.5,49153 29.40s
192.168.3.213,49155 29.71s
192.168.5.5,49156 30.34s
192.168.5.5,49154 31.22s
192.168.5.5,139 33.14s
192.168.7.121,49154 34.12s
192.168.7.121,135 34.55s
192.168.7.249,22 34.56s
192.168.3.213,49152 34.99s
192.168.7.121,49155 36.99s
192.168.5.5,49152 37.72s
