192.168.7.121,445 5.69s
192.168.3.200,23 6.64s
192.168.5.5,135 8.18s
192.168.3.213,49157 8.68s
192.168.3.213,49154 10.02s
192.168.5.5,445 13.09s
192.168.7.210,445 13.74s
192.168.7.121,49153 13.84s
192.168.7.121,135 15.11s
192.168.5.3,445 19.51s
192.168.5.5,49155 19.93s
192.168.7.249,22 20.56s
192.168.5.5,49152 22.60s
192.168.3.213,49156 23.02s
192.168.3.213,49153 23.35s
192.168.3.213,49152 23.66s
192.168.7.121,49156 25.86s
192.168.5.5,49156 26.61s
192.168.5.5,49154 27.39s
192.168.5.5,139 27.39s
192.168.7.121,49152 28.97s
192.168.3.213,135 30.14s
192.168.5.2,21 30.58s
192.168.3.36,445 31.42s
192.168.7.121,49155 32.13s
192.168.7.121,139 34.63s
192.168.7.249,80 39.09s
192.168.7.121,49157 43.35s
192.168.7.121,49154 44.65s
192.168.3.213,49155 45.64s
192.168.5.5,49153 46.47s
192.168.5.5,49157 52.51s
