192.168.7.121,49152 4.63s
192.168.7.121,49155 4.83s
192.168.7.121,49153 6.11s
192.168.5.5,49154 7.05s
192.168.5.3,445 8.86s
192.168.3.213,49152 10.55s
192.168.5.5,49157 10.55s
192.168.3.213,49157 10.76s
192.168.7.249,80 12.24s
192.168.3.213,135 12.47s
192.168.7.249,22 14.30s
192.168.5.5,49153 14.95s
192.168.7.210,445 16.43s
192.168.3.213,139 22.58s
192.168.7.121,49156 23.61s
192.168.5.5,139 28.00s
192.168.3.36,445 30.46s
192.168.3.213,445 31.44s
192.168.5.5,49156 33.55s
192.168.5.2,21 35.27s
192.168.7.121,135 37.83s
192.168.3.213,49153 38.91s
192.168.3.213,49156 39.13s
192.168.7.121,49154 41.57s
192.168.3.200,23 41.80s
192.168.7.121,139 42.14s
192.168.3.213,49155 45.07s
192.168.3.213,49154 45.07s
192.168.5.5,135 46.61s
192.168.7.121,445 48.58s
192.168.5.5,49155 48.58s
192.168.5.5,445 48.69s
192.168.7.121,49157 49.21s
192.168.5.5,49152 49.31s
