192.168.5.5,49156 4.43s
192.168.7.121,49153 5.11s
192.168.5.5,49153 6.43s
192.168.7.121,49152 8.26s
192.168.5.3,445 9.56s
192.168.7.249,22 9.87s
192.168.3.213,445 10.51s
192.168.5.5,49155 12.23s
192.168.3.200,23 12.88s
192.168.5.5,49157 14.60s
192.168.3.213,135 14.70s
192.168.7.121,49157 15.69s
192.168.3.36,445 15.69s
192.168.3.213,139 15.93s
192.168.5.5,135 16.23s
192.168.7.210,445 17.40s
192.168.5.5,49154 17.95s
192.168.5.2,21 18.60s
192.168.3.213,49154 21.42s
192.168.3.213,49156 21.53s
192.168.3.213,49157 22.08s
192.168.3.213,49152 25.48s
192.168.7.121,139 29.29s
192.168.5.5,445 29.95s
192.168.7.249,80 30.07s
192.168.5.5,49152 31.29s
192.168.5.5,139 33.36s
192.168.7.121,135 33.46s
192.168.7.121,49156 34.42s
192.168.7.121,49155 35.96s
192.168.7.121,445 36.07s
192.168.7.121,49154 36.61s
192.168.3.213,49155 38.95s
