FE00,FE20,FE30,TOTAL_TH
116458056.0,281966216.0,111168780.0,509593052.0
1716.0,2516.0,360.0,4592.0
240.0,240.0,0.0,480.0
0.0,280.0,0.0,280.0
71184.0,121576.0,161324.0,354084.0
169004.0,132012.0,135792.0,436808.0
103104.0,106056.0,71520.0,280680.0
144312.0,161976.0,178584.0,484872.0
127752.0,109696.0,100536.0,337984.0
101424.0,100344.0,78216.0,279984.0
65400.0,47744.0,42024.0,155168.0
1356.0,1596.0,1836.0,4788.0
360.0,880.0,576.0,1816.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
0.0,600.0,600.0,1200.0
600.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
360.0,600.0,600.0,1560.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
0.0,560.0,0.0,560.0
