FE00,FE20,FE30,TOTAL_TH
130668484.0,294753244.0,125575036.0,550996764.0
600.0,0.0,0.0,600.0
0.0,560.0,0.0,560.0
0.0,280.0,240.0,520.0
51008.0,10976.0,71176.0,133160.0
159960.0,41648.0,169592.0,371200.0
80184.0,144592.0,105200.0,329976.0
137328.0,74008.0,118272.0,329608.0
106936.0,4992.0,41192.0,153120.0
1356.0,1836.0,1596.0,4788.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
0.0,832.0,1640.0,2472.0
600.0,952.0,592.0,2144.0
0.0,0.0,592.0,592.0
0.0,1120.0,0.0,1120.0
360.0,1680.0,600.0,2640.0
240.0,280.0,0.0,520.0
0.0,0.0,0.0,0.0
592.0,3224.0,240.0,4056.0
360.0,640.0,360.0,1360.0
480.0,240.0,0.0,720.0
0.0,280.0,0.0,280.0
0.0,240.0,240.0,480.0
1184.0,360.0,952.0,2496.0
240.0,0.0,0.0,240.0
0.0,0.0,240.0,240.0
360.0,600.0,600.0,1560.0
240.0,0.0,0.0,240.0
0.0,592.0,2472.0,3064.0
0.0,0.0,0.0,0.0
1716.0,1956.0,1956.0,5628.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
832.0,1888.0,240.0,2960.0
360.0,1440.0,360.0,2160.0
240.0,520.0,0.0,760.0
0.0,280.0,0.0,280.0
0.0,1080.0,240.0,1320.0
2008.0,640.0,360.0,3008.0
240.0,280.0,0.0,520.0
0.0,0.0,0.0,0.0
0.0,240.0,600.0,840.0
600.0,360.0,0.0,960.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,600.0,600.0,1200.0
600.0,0.0,0.0,600.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
