FE00,FE20,FE30,TOTAL_TH
132746304.0,296060096.0,127571840.0,556378240.0
0.0,0.0,0.0,0.0
0.0,0.0,240.0,240.0
360.0,600.0,360.0,1320.0
26552.0,5048.0,111840.0,143440.0
135684.0,113044.0,119932.0,368660.0
161576.0,174088.0,12208.0,347872.0
26712.0,0.0,0.0,26712.0
264.0,0.0,0.0,264.0
0.0,800.0,600.0,1400.0
600.0,920.0,0.0,1520.0
824.0,1400.0,0.0,2224.0
0.0,240.0,240.0,480.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
952.0,2248.0,600.0,3800.0
240.0,240.0,0.0,480.0
240.0,0.0,0.0,240.0
0.0,240.0,240.0,480.0
1184.0,640.0,952.0,2776.0
240.0,560.0,0.0,800.0
0.0,520.0,240.0,760.0
1716.0,2236.0,1956.0,5908.0
240.0,280.0,0.0,520.0
0.0,1152.0,824.0,1976.0
0.0,760.0,600.0,1360.0
600.0,640.0,0.0,1240.0
0.0,0.0,0.0,0.0
0.0,824.0,1072.0,1896.0
360.0,600.0,360.0,1320.0
240.0,0.0,0.0,240.0
0.0,0.0,240.0,240.0
360.0,600.0,2008.0,2968.0
240.0,0.0,0.0,240.0
0.0,0.0,240.0,240.0
360.0,600.0,360.0,1320.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
360.0,1720.0,600.0,2680.0
240.0,1080.0,0.0,1320.0
0.0,800.0,0.0,800.0
1716.0,2236.0,1956.0,5908.0
240.0,0.0,0.0,240.0
0.0,0.0,0.0,0.0
360.0,600.0,600.0,1560.0
