FE00,FE20,FE30,TOTAL_TH
135467060.0,298692612.0,130297556.0,564457228.0
0.0,240.0,0.0,240.0
0.0,880.0,600.0,1480.0
600.0,0.0,0.0,600.0
44216.0,25180.0,190788.0,260184.0
211916.0,171952.0,103720.0,487588.0
130944.0,127536.0,123968.0,382448.0
40504.0,28872.0,360.0,69736.0
832.0,0.0,1184.0,2016.0
592.0,0.0,240.0,832.0
360.0,600.0,360.0,1320.0
240.0,0.0,0.0,240.0
0.0,560.0,0.0,560.0
824.0,1920.0,600.0,3344.0
600.0,600.0,0.0,1200.0
0.0,520.0,0.0,520.0
0.0,280.0,0.0,280.0
360.0,1160.0,600.0,2120.0
240.0,2168.0,592.0,3000.0
0.0,280.0,0.0,280.0
0.0,1596.0,1836.0,3432.0
1716.0,360.0,360.0,2436.0
240.0,0.0,0.0,240.0
592.0,0.0,824.0,1416.0
360.0,600.0,600.0,1560.0
480.0,0.0,0.0,480.0
0.0,0.0,0.0,0.0
2472.0,1472.0,600.0,4544.0
600.0,560.0,0.0,1160.0
0.0,520.0,0.0,520.0
0.0,520.0,240.0,760.0
600.0,2008.0,360.0,2968.0
0.0,560.0,0.0,560.0
0.0,280.0,0.0,280.0
360.0,880.0,600.0,1840.0
240.0,520.0,0.0,760.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
360.0,360.0,360.0,1080.0
240.0,0.0,0.0,240.0
0.0,0.0,1596.0,1596.0
1716.0,1956.0,360.0,4032.0
240.0,0.0,0.0,240.0
0.0,280.0,0.0,280.0
0.0,800.0,240.0,1040.0
360.0,880.0,360.0,1600.0
