FE00,FE20,FE30,TOTAL_TH
75317556.0,239633084.0,69923116.0,384873756.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
26936.0,35752.0,42696.0,105384.0
38208.0,33600.0,33472.0,105280.0
80312.0,120368.0,121248.0,321928.0
181984.0,142288.0,176712.0,500984.0
142616.0,166600.0,174344.0,483560.0
182568.0,180128.0,135808.0,498504.0
156752.0,173328.0,168000.0,498080.0
166528.0,123368.0,126560.0,416456.0
0.0,0.0,0.0,0.0
0.0,240.0,480.0,720.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1356.0,1596.0,1596.0,4548.0
600.0,360.0,360.0,1320.0
0.0,0.0,0.0,0.0
0.0,0.0,240.0,240.0
0.0,240.0,0.0,240.0
