FE00,FE20,FE30,TOTAL_TH
77273964.0,241596044.0,71887612.0,390757620.0
0.0,240.0,0.0,240.0
0.0,240.0,480.0,720.0
0.0,0.0,0.0,0.0
24416.0,36232.0,41920.0,102568.0
42816.0,36328.0,24592.0,103736.0
122472.0,130048.0,191856.0,444376.0
141432.0,166584.0,171152.0,479168.0
146224.0,175824.0,171088.0,493136.0
199548.0,186468.0,179068.0,565084.0
162744.0,167488.0,169776.0,500008.0
131888.0,83536.0,13616.0,229040.0
0.0,520.0,240.0,760.0
0.0,560.0,0.0,560.0
600.0,640.0,360.0,1600.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
240.0,360.0,360.0,960.0
360.0,0.0,0.0,360.0
0.0,0.0,0.0,0.0
0.0,240.0,240.0,480.0
600.0,360.0,360.0,1320.0
