FE00,FE20,FE30,TOTAL_TH
289148800.0,328503968.0,154021304.0,771674072.0
600.0,880.0,600.0,2080.0
0.0,0.0,0.0,0.0
0.0,560.0,0.0,560.0
56912.0,95056.0,46848.0,198816.0
81784.0,148632.0,41568.0,271984.0
62364.0,86004.0,83156.0,231524.0
107104.0,152416.0,81360.0,340880.0
114640.0,75376.0,163280.0,353296.0
44520.0,31800.0,39512.0,115832.0
44352.0,53184.0,139520.0,237056.0
73520.0,66168.0,48312.0,188000.0
55864.0,44064.0,44736.0,144664.0
94544.0,39904.0,44040.0,178488.0
54000.0,46600.0,37872.0,138472.0
5400.0,4336.0,360.0,10096.0
0.0,560.0,240.0,800.0
0.0,280.0,0.0,280.0
600.0,880.0,600.0,2080.0
0.0,240.0,0.0,240.0
0.0,0.0,0.0,0.0
