FE00,FE20,FE30,TOTAL_TH
294069124.0,333520924.0,158762492.0,786352540.0
240.0,240.0,600.0,1080.0
360.0,360.0,0.0,720.0
0.0,0.0,13896.0,13896.0
54984.0,100432.0,116048.0,271464.0
62556.0,79732.0,87260.0,229548.0
37248.0,60144.0,55152.0,152544.0
35976.0,55312.0,50296.0,141584.0
102592.0,129608.0,158456.0,390656.0
55536.0,56272.0,41208.0,153016.0
62064.0,155664.0,50888.0,268616.0
80104.0,121240.0,87248.0,288592.0
257672.0,44016.0,84272.0,385960.0
41760.0,41640.0,49944.0,133344.0
15744.0,9888.0,5592.0,31224.0
0.0,0.0,0.0,0.0
0.0,840.0,0.0,840.0
0.0,280.0,0.0,280.0
600.0,600.0,600.0,1800.0
0.0,840.0,0.0,840.0
