FE00,FE20,FE30,TOTAL_TH
289946960.0,329352864.0,154795264.0,774095088.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
32880.0,81728.0,70200.0,184808.0
34872.0,145192.0,103992.0,284056.0
44760.0,43080.0,98656.0,186496.0
35616.0,51160.0,150728.0,237504.0
72104.0,146304.0,39144.0,257552.0
67440.0,36272.0,37848.0,141560.0
80896.0,40888.0,33144.0,154928.0
189752.0,42040.0,56256.0,288048.0
72080.0,44832.0,43728.0,160640.0
107552.0,40440.0,41112.0,189104.0
37392.0,48960.0,45360.0,131712.0
38568.0,41720.0,37704.0,117992.0
21096.0,17624.0,11136.0,49856.0
240.0,66968.0,240.0,67448.0
1356.0,1636.0,1356.0,4348.0
0.0,280.0,240.0,520.0
600.0,880.0,360.0,1840.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
