FE00,FE20,FE30,TOTAL_TH
292461528.0,331889128.0,157186192.0,781536848.0
0.0,1356.0,1356.0,2712.0
1356.0,0.0,0.0,1356.0
600.0,600.0,600.0,1800.0
33624.0,84904.0,54648.0,173176.0
104704.0,108080.0,94840.0,307624.0
127616.0,62608.0,118376.0,308600.0
181200.0,158456.0,123496.0,463152.0
89112.0,60024.0,68304.0,217440.0
72928.0,55208.0,48376.0,176512.0
52128.0,48704.0,54992.0,155824.0
47184.0,52608.0,107072.0,206864.0
53376.0,50952.0,48864.0,153192.0
46704.0,65176.0,49008.0,160888.0
15264.0,58344.0,0.0,73608.0
240.0,10776.0,600.0,11616.0
360.0,0.0,0.0,360.0
1356.0,1356.0,1356.0,4068.0
0.0,240.0,240.0,480.0
600.0,360.0,360.0,1320.0
