FE00,FE20,FE30,TOTAL_TH
293290480.0,332711440.0,157959280.0,783961200.0
0.0,520.0,0.0,520.0
600.0,1160.0,600.0,2360.0
0.0,0.0,0.0,0.0
40392.0,43680.0,49944.0,134016.0
116536.0,58584.0,70704.0,245824.0
116480.0,58392.0,108920.0,283792.0
64568.0,43368.0,97568.0,205504.0
138904.0,122216.0,121976.0,383096.0
78336.0,75712.0,65048.0,219096.0
47184.0,142976.0,56544.0,246704.0
52404.0,78212.0,64140.0,194756.0
47928.0,46824.0,60776.0,155528.0
41808.0,46264.0,102312.0,190384.0
31704.0,22808.0,3120.0,57632.0
600.0,67288.0,360.0,68248.0
0.0,280.0,0.0,280.0
0.0,0.0,0.0,0.0
600.0,600.0,600.0,1800.0
0.0,0.0,0.0,0.0
